2024-01-25 12:12:41 INFO  AddProduct:17 Start :: Test to create a product 
2024-01-25 12:12:44 INFO  AddProduct:44 Response :: {"code":101,"message":"sampleShoe Added Successfully.","shoe":{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000}}
2024-01-25 12:12:44 INFO  AddProduct:45 End :: Test to create a product
2024-01-25 12:12:44 INFO  DeleteProduct:16 Start :: Test to delete product from the store
2024-01-25 12:12:44 INFO  DeleteProduct:29 Reponse :: {"code":101,"message":"Shoe with ID 201 Deleted Successfully."}
2024-01-25 12:12:44 INFO  DeleteProduct:30 End :: Test to delete product from the store
2024-01-25 12:12:44 INFO  RetrieveAllProducts:18 Start :: Test to get all the products from the store
2024-01-25 12:12:44 INFO  RetrieveAllProducts:30 Reponse :: {"code":101,"message":"52 Shoes Fetched Successfully.","shoes":[{"id":301,"image":"3.png","name":"NeoFlex Athletic Shoes","category":"Sports","sizes":"7, 8, 9, 10","price":4500},{"id":401,"image":"4.png","name":"PowerStride Training Shoes","category":"Sports","sizes":"6, 7, 8, 9","price":6000},{"id":501,"image":"5.png","name":"StreetRunner Urban Sneakers","category":"Sports","sizes":"7, 9","price":4000},{"id":601,"image":"6.png","name":"VentureHike Trail Shoes","category":"Sports","sizes":"5, 8, 9","price":2500},{"id":701,"image":"7.png","name":"EnduraGrip Sports Sneakers","category":"Sports","sizes":"4, 6, 9","price":5000},{"id":801,"image":"8.png","name":"LightStride Performance Shoes","category":"Sports","sizes":"7, 8","price":1200},{"id":901,"image":"9.png","name":"MaxFit Pro Sports Shoes","category":"Sports","sizes":"7, 8, 9, 10","price":4700},{"id":111,"image":"10.png","name":"RapidFlex Running Shoes","category":"Sports","sizes":"4, 5, 6","price":2500},{"id":211,"image":"11.png","name":"ZenFlex Sports Sneakers","category":"Sports","sizes":"7, 8, 9","price":6000},{"id":311,"image":"12.png","name":"TrailBlaze Adventure Shoes","category":"Sports","sizes":"5, 6, 9","price":7500},{"id":101,"image":"update image","name":"updated Shoe","category":" updated Runnings","sizes":"12","price":1099},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"SampleShoe","category":"Running","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000},{"id":101,"image":"image_url","name":"sampleShoe","category":"Runnings","sizes":"9","price":1000}]}
2024-01-25 12:12:44 INFO  RetrieveAllProducts:31 End :: Test to get all the products from the store
2024-01-25 12:12:44 INFO  RetrieveAllProducts:16 Start :: Test to get all the register users from the store
2024-01-25 12:12:44 INFO  RetrieveAllProducts:30 Reponse :: {"code":101,"message":"3 Users Fetched Successfully.","users":[{"name":"John Watson","email":"john@example.com","password":"john123"},{"name":"Fionna Flynn","email":"fionna@example.com","password":"fionna123"},{"name":"Sia Sen","email":"sia@example.com","password":"sia123"}]}
2024-01-25 12:12:44 INFO  RetrieveAllProducts:31 End :: Test to get all the register users from the store
2024-01-25 12:12:44 INFO  UpdateProduct:23 Start :: Test to update the product in the store
2024-01-25 12:12:44 INFO  UpdateProduct:43 Reponse :: {"code":101,"message":"updated Shoe Updated Successfully.","shoe":{"id":101,"image":"update image","name":"updated Shoe","category":" updated Runnings","sizes":"12","price":1099}}
2024-01-25 12:12:44 INFO  UpdateProduct:44 End :: Test to update the product in the store
